xi;vi1;vi2
0.454;0.377438;0.712012
0.455;0.37815;0.711669
0.456;0.378862;0.711327
0.457;0.379573;0.710986
0.458;0.380284;0.710647
0.459;0.380994;0.710308
0.46;0.381704;0.70997
0.461;0.382414;0.709633
0.462;0.383124;0.709297
0.463;0.383833;0.708962
0.464;0.384542;0.708628
0.465;0.38525;0.708295
0.466;0.385958;0.707963
0.467;0.386666;0.707632
0.468;0.387373;0.707302
0.469;0.388081;0.706973
0.47;0.388787;0.706644
0.471;0.389494;0.706317
0.472;0.3902;0.705991
0.473;0.390906;0.705666
0.474;0.391611;0.705342
0.475;0.392317;0.705019
0.476;0.393021;0.704697
0.477;0.393726;0.704375
0.478;0.39443;0.704055
0.479;0.395134;0.703736
0.48;0.395838;0.703418
0.481;0.396541;0.7031
0.482;0.397244;0.702784
0.483;0.397946;0.702468
0.484;0.398649;0.702154
0.485;0.399351;0.70184
0.486;0.400052;0.701528
0.487;0.400754;0.701216
0.488;0.401455;0.700906
0.489;0.402156;0.700596
0.49;0.402856;0.700287
0.491;0.403556;0.69998
0.492;0.404256;0.699673
0.493;0.404956;0.699367
0.494;0.405655;0.699062
0.495;0.406354;0.698758
0.496;0.407052;0.698455
0.497;0.407751;0.698153
0.498;0.408449;0.697852
0.499;0.409146;0.697552
0.5;0.409844;0.697252
0.501;0.410541;0.696954
0.502;0.411238;0.696657
0.503;0.411934;0.69636
0.504;0.41263;0.696065
0.505;0.413326;0.69577
0.506;0.414022;0.695476
0.507;0.414717;0.695184
0.508;0.415412;0.694892
0.509;0.416107;0.694601
0.51;0.416801;0.694311
0.511;0.417496;0.694022
0.512;0.418189;0.693734
0.513;0.418883;0.693447
0.514;0.419576;0.693161
0.515;0.420269;0.692875
0.516;0.420962;0.692591
0.517;0.421655;0.692307
0.518;0.422347;0.692025
0.519;0.423039;0.691743
0.52;0.42373;0.691462
0.521;0.424422;0.691182
0.522;0.425113;0.690904
0.523;0.425803;0.690626
0.524;0.426494;0.690348
0.525;0.427184;0.690072
0.526;0.427874;0.689797
0.527;0.428564;0.689522
0.528;0.429253;0.689249
0.529;0.429942;0.688976
0.53;0.430631;0.688705
0.531;0.43132;0.688434
0.532;0.432008;0.688164
0.533;0.432696;0.687895
0.534;0.433384;0.687627
0.535;0.434071;0.68736
0.536;0.434758;0.687093
0.537;0.435445;0.686828
0.538;0.436132;0.686563
0.539;0.436818;0.686299
0.54;0.437505;0.686037
0.541;0.438191;0.685775
0.542;0.438876;0.685514
0.543;0.439562;0.685254
0.544;0.440247;0.684994
0.545;0.440932;0.684736
0.546;0.441616;0.684478
0.547;0.4423;0.684222
0.548;0.442985;0.683966
0.549;0.443668;0.683711
0.55;0.444352;0.683457
0.551;0.445035;0.683204
0.552;0.445718;0.682952
